Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Leading percentages,Reference
3s2.3p2,3P,0,0.0,0.0,,L5815
3s2.3p2,3P,1,77.115,,,L5815
3s2.3p2,3P,2,223.157,,,L5815
3s2.3p2,1D,2,6298.85,,,L5815
3s2.3p2,1S,0,15394.37,,,L5815
3s.3p3,5S*,2,33326.053,,100,L5815
3s2.3p.4s,3P*,0,39683.163,,99,L5815
3s2.3p.4s,3P*,1,39760.285,,98                  :     1  3p.4s  1P*,L5815
3s2.3p.4s,3P*,2,39955.053,,99,L5815
3s2.3p.4s,1P*,1,40991.884,,97                  :     1  3p.3d  1P*,L5815
3s.3p3,3D*,1,45276.188,,56                  :    39  3p.nd  3D*,L5815
3s.3p3,3D*,2,45293.629,,56                  :    39  3p.nd  3D*,L5815
3s.3p3,3D*,3,45321.848,,56                  :    39  3p.nd  3D*,L5815
3s2.3p.4p,1P,1,47284.061,,,L5815
3s2.3p.3d,1D*,2,47351.554,,92                  :     4  3s.3p3 1D*,L5815
3s2.3p.4p,3D,1,48020.074,,,L5815
3s2.3p.4p,3D,2,48102.323,,,L5815
3s2.3p.4p,3D,3,48264.292,,,L5815
3s2.3p.4p,3P,0,49028.294,,,L5815
3s2.3p.4p,3P,1,49060.601,,,L5815
3s2.3p.4p,3P,2,49188.617,,,L5815
3s2.3p.4p,3S,1,49399.67,,,L5815
3s2.3p.3d,3F*,2,49850.83,,98                  :     1  3p.3d  3P*,L5815
3s2.3p.3d,3F*,3,49933.775,,99                  :     1  3p.4d  3F*,L5815
3s2.3p.3d,3F*,4,50054.8,,99                  :     1  3p.4d  3F*,L5815
3s2.3p.4p,1D,2,50189.389,,,L5815
3s2.3p.3d,3P*,2,50499.838,,81                  :    16  3s.3p3 3P*,L5815
3s2.3p.3d,3P*,1,50566.397,,81                  :    16  3s.3p3 3P*,L5815
3s2.3p.3d,3P*,0,50602.44,,81                  :    16  3s.3p3 3P*,L5815
3s2.3p.4p,1S,0,51612.012,,,L5815
3s2.3p.3d,1F*,3,53362.24,,96                  :     3  3p.4d  1F*,L5815
3s2.3p.3d,1P*,1,53387.334,,92                  :     3  3p.5s  1P*,L5815
3s2.3p.3d,3D*,1,54185.264,,80  3p.nd           :    14  3s.3p3 3D*,L5815
3s2.3p.3d,3D*,2,54205.09,,80  3p.nd           :    14  3s.3p3 3D*,L5815
3s2.3p.3d,3D*,3,54257.582,,80  3p.nd           :    14  3s.3p3 3D*,L5815
3s2.3p.5s,3P*,0,54245.02,,99                  :     1  3p.3d  3P*,L5815
3s2.3p.5s,3P*,1,54313.818,,92                  :     6  3p.5s  1P*,L5815
3s2.3p.5s,3P*,2,54528.22,,98                  :     1  3p.4d  3P*,L5815
3s2.3p.5s,1P*,1,54871.031,,89                  :     6  3p.5s  3P*,L5815
3s2.3p.4d,1D*,2,56503.346,,86                  :     4  3p.3d  1D*,L5815
3s2.3p.4d,3P*,2,56690.903,,50                  :    26  3s.3p3 3P*,L5815
3s2.3p.4d,3P*,1,56700.25,,51                  :    27  3s.3p3 3P*,L5815
3s2.3p.4d,3P*,0,56733.38,,50                  :    27  3s.3p3 3P*,L5815
3s2.3p.5p,1P,1,56780.427,,,L5815
3s2.3p.5p,3D,1,56978.256,,,L5815
3s2.3p.5p,3D,2,57017.496,,,L5815
3s2.3p.5p,3D,3,57198.027,,,L5815
3s2.3p.5p,3P,0,57295.881,,,L5815
3s2.3p.5p,3P,1,57328.789,,,L5815
3s2.3p.5p,3P,2,57468.239,,,L5815
3s2.3p.4d,3F*,2,57372.297,,96                  :     2  3p.4d  1D*,L5815
3s2.3p.4d,3F*,3,57450.58,,98                  :     1  3p.3d  3F*,L5815
3s2.3p.4d,3F*,4,57583.657,,98                  :     1  3p.3d  3F*,L5815
3s2.3p.5p,3S,1,57541.918,,,L5815
3s2.3p.5p,1D,2,57798.072,,,L5815
3s2.3p.5p,1S,0,58311.659,,,L5815
3s2.3p.(2P*<1/2>).4f,2[5/2],3,58774.368,,,L5815
3s2.3p.(2P*<1/2>).4f,2[5/2],2,58775.451,,,L5815
3s2.3p.(2P*<1/2>).4f,2[7/2],3,58786.86,,,L5815
3s2.3p.(2P*<1/2>).4f,2[7/2],4,58788.88,,,L5815
3s2.3p.4d,1P*,1,58801.529,,86                  :     6  3p.6s  1P*,L5815
3s2.3p.4d,1F*,3,58893.4,,89                  :     5  3p.5d  1F*,L5815
3s2.3p.4d,3D*,2,59032.19,,89  3p.nd           :     5  3s.3p3 3D*,L5815
3s2.3p.4d,3D*,1,59056.508,,89  3p.nd           :     5  3s.3p3 3D*,L5815
3s2.3p.4d,3D*,3,59118.03,,89  3p.nd           :     5  3s.3p3 3D*,L5815
3s2.3p.(2P*<3/2>).4f,2[7/2],3,59034.988,,,L5815
3s2.3p.(2P*<3/2>).4f,2[7/2],4,59037.043,,,L5815
3s2.3p.(2P*<3/2>).4f,2[5/2],3,59109.959,,,L5815
3s2.3p.(2P*<3/2>).4f,2[5/2],2,59110.892,,,L5815
3s2.3p.(2P*<3/2>).4f,2[9/2],5,59128.4,,,L5815
3s2.3p.(2P*<3/2>).4f,2[9/2],4,59131.912,,,L5815
3s2.3p.(2P*<3/2>).4f,2[3/2],1,59190.46,,,L5815
3s2.3p.(2P*<3/2>).4f,2[3/2],2,59191.072,,,L5815
3s2.3p.(2P*<1/2>).6s<1/2>,"(1/2,1/2)*",0,59221.11,,99  3P*             :     1  3p.4d  3P*,L5815
3s2.3p.(2P*<1/2>).6s<1/2>,"(1/2,1/2)*",1,59273.575,,86  3P*             :    11  3p.6s  1P*,L5815
3s2.3p.(2P*<3/2>).6s<1/2>,"(3/2,1/2)*",2,59506.359,,95  3P*             :     2  3p.4d  3P*,L5815
3s2.3p.(2P*<3/2>).6s<1/2>,"(3/2,1/2)*",1,59636.667,,79  1P*             :    12  3p.6s  3P*,L5815
3s2.3p.nd,a 3P*,2,59917.336,,77                  :    16  3s.3p3 3P*,L5815
3s2.3p.nd,a 3P*,1,60010.458,,80                  :    17  3s.3p3 3P*,L5815
3s2.3p.nd,a 3P*,0,60042.5,,82                  :    17  3s.3p3 3P*,L5815
3s2.3p.5d,1D*,2,60300.86,,76                  :    14  3p.5d  3F*,L5815
3s2.3p.(2P*<1/2>).6p<1/2>,"(1/2,1/2)",1,60381.278,,,L5815
3s2.3p.(2P*<1/2>).6p<1/2>,"(1/2,1/2)",0,60621.64,,,L5815
3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",1,60487.103,,,L5815
3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",2,60496.358,,,L5815
3s2.3p.5d,3F*,2,60645.441,,84                  :    12  3p.5d  1D*,L5815
3s2.3p.5d,3F*,3,60705.464,,96                  :     1  3p.5d  1F*,L5815
3s2.3p.5d,3F*,4,60848.946,,98                  :     1  3p.4d  3F*,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",3,60704.53,,,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",1,60706.558,,,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",2,60962.105,,,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",0,61198.036,,,L5815
3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",2,60815.925,,,L5815
3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",1,60856.63,,,L5815
3s2.3p.(2P*<1/2>).5f,2[5/2],3,61303.381,,,L5815
3s2.3p.(2P*<1/2>).5f,2[5/2],2,61304.283,,,L5815
3s2.3p.(2P*<1/2>).5f,2[7/2],3,61305.05,,,L5815
3s2.3p.(2P*<1/2>).5f,2[7/2],4,61306.713,,,L5815
3s2.3p.5d,1P*,1,61305.67,,73                  :     9  3p.7s  1P*,L5815
3s2.3p.5d,1F*,3,61423.23,,76                  :     8  3p.6d  1F*,L5815
3s2.3p.5d,3D*,2,61447.86,,82  3p.nd           :    13  3p.nd  3P*,L5815
3s2.3p.5d,3D*,1,61511.77,,57  3p.nd           :    25  3p.7s  3P*,L5815
3s2.3p.5d,3D*,3,61574.814,,87  3p.nd           :     8  3p.5d  1F*,L5815
3s2.3p.(2P*<1/2>).7s<1/2>,"(1/2,1/2)*",0,61538.05,,100  3P*,L5815
3s2.3p.(2P*<1/2>).7s<1/2>,"(1/2,1/2)*",1,61595.43,,56  3P*             :    24  3p.nd  3D*,L5815
3s2.3p.(2P*<3/2>).5f,2[7/2],3,61562.477,,,L5815
3s2.3p.(2P*<3/2>).5f,2[7/2],4,61563.952,,,L5815
3s2.3p.(2P*<3/2>).5f,2[5/2],3,61597.404,,,L5815
3s2.3p.(2P*<3/2>).5f,2[5/2],2,61598.145,,,L5815
3s2.3p.(2P*<3/2>).5f,2[9/2],5,61614.37,,,L5815
3s2.3p.(2P*<3/2>).5f,2[9/2],4,61617.17,,,L5815
3s2.3p.(2P*<3/2>).5f,2[3/2],1,61647.36,,,L5815
3s2.3p.(2P*<3/2>).5f,2[3/2],2,61647.875,,,L5815
3s2.3p.(2P*<3/2>).7s<1/2>,"(3/2,1/2)*",2,61823.55,,92  3P*             :     3  3p.5d  3P*,L5815
3s2.3p.(2P*<3/2>).7s<1/2>,"(3/2,1/2)*",1,61881.6,,65  1P*             :    15  3p.7s  3P*,L5815
3s2.3p.5d,3P*,2,61841.94,,72  3p.nd           :    12  3p.nd  3D*,L5815
3s2.3p.5d,3P*,1,61936.13,,80  3p.nd           :     7  3s.3p3 3P*,L5815
3s2.3p.5d,3P*,0,61960.26,,92  3p.nd           :     8  3s.3p3 3P*,L5815
3s2.3p.(2P*<1/2>).7p<1/2>,"(1/2,1/2)",1,62141.8,,,L5815
3s2.3p.(2P*<1/2>).7p<1/2>,"(1/2,1/2)",0,62318.7,,,L5815
3s2.3p.6d,1D*,2,62156.816,,49                  :    42  3p.6d  3F*,L5815
3s2.3p.(2P*<1/2>).7p<3/2>,"(1/2,3/2)",1,62226.39,,,L5815
3s2.3p.(2P*<1/2>).7p<3/2>,"(1/2,3/2)",2,62231.99,,,L5815
3s2.3p.6d,3F*,2,62349.93,,54                  :    38  3p.6d  1D*,L5815
3s2.3p.6d,3F*,3,62376.82,,92                  :     3  3p.6d  1F*,L5815
3s2.3p.6d,3F*,4,62534.08,,98                  :     1  3p.5d  3F*,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",3,62421.03,,,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",1,62450.4,,,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",2,62596.32,,,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",0,62718.99,,,L5815
