obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
125.528,,10,,,,,,,,,,,E1,,L3521
125.649,,40,,,,,,,,,,,E1,,L3521
125.88,,50,,,,,,,,,,,E1,,L3521
157.387,,50,,,,,,,,,,,E1,,L3521
157.482,,50,,,,,,,,,,,E1,,L3521
,158.9173,,44400000.0,E,0.0,62925.8,3s2.3p2,3P,0,3s2.3p.6d,3D*,1,E1,T6066LS,
,159.1123,,33200000.0,E,77.115,62925.8,3s2.3p2,3P,1,3s2.3p.6d,3D*,1,E1,T6066LS,
159.241,,50,,,,,,,,,,,E1,,L3521
159.455,,150,,,,,,,,,,,E1,,L3521
,159.4566,,79100000.0,D,223.157,62936.14,3s2.3p2,3P,2,3s2.3p.6d,3D*,3,E1,T6066LS,
,159.4829,,2190000.0,E,223.157,62925.8,3s2.3p2,3P,2,3s2.3p.6d,3D*,1,E1,T6066LS,
159.493,,50,,,,,,,,,,,E1,,L3521
,159.495,,59200000.0,E,77.115,62774.99,3s2.3p2,3P,1,3s2.3p.6d,3D*,2,E1,T6066LS,
159.795,,30,,,,,,,,,,,E1,,L3521
,159.8674,,19600000.0,E,223.157,62774.99,3s2.3p2,3P,2,3s2.3p.6d,3D*,2,E1,T6066LS,
162.287,,100,,,,,,,,,,,E1,,L3521
162.571,162.5705,30,71600000.0,E,0.0,61511.77,3s2.3p2,3P,0,3s2.3p.5d,3D*,1,E1,T8363,L3521
,162.7746,,53400000.0,E,77.115,61511.77,3s2.3p2,3P,1,3s2.3p.5d,3D*,1,E1,T8363,
162.943,162.9441,300,87300000.0,C,77.115,61447.86,3s2.3p2,3P,1,3s2.3p.5d,3D*,2,E1,T5071,L3521
162.992,,200,,,,,,,,,,,E1,,L3521
,162.99478,,211000000.0,C,223.157,61574.814,3s2.3p2,3P,2,3s2.3p.5d,3D*,3,E1,T5071,
163.113,,75,,,,,,,,,,,E1,,L3521
,163.1624,,3540000.0,E,223.157,61511.77,3s2.3p2,3P,2,3s2.3p.5d,3D*,1,E1,T8363,
,163.3328,,11200000.0,D,223.157,61447.86,3s2.3p2,3P,2,3s2.3p.5d,3D*,2,E1,T5071,
163.398,,50,,,,,,,,,,,E1,,L3521
165.335,,30w,,,,,,,,,,,E1,,L3521
,166.04746,,7670000.0,D,77.115,60300.86,3s2.3p2,3P,1,3s2.3p.5d,1D*,2,E1,T5071,
166.452,,30,,,,,,,,,,,E1,,L3521
166.637,166.63762,50,17500000.0,D,0.0,60010.458,3s2.3p2,3P,0,3s2.3p.nd,a 3P*,1,E1,T5071,L3521
166.762,166.7629,100,82700000.0,E,77.115,60042.5,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,0,E1,T8363,L3521
166.852,166.85203,100,25800000.0,D,77.115,60010.458,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,1,E1,T5071,L3521
,167.11168,,8300000.0,D,77.115,59917.336,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,2,E1,T5071,
167.259,167.2596,100,30900000.0,D+,223.157,60010.458,3s2.3p2,3P,2,3s2.3p.nd,a 3P*,1,E1,T5071,L3521
167.52,167.52052,200,64100000.0,C,223.157,59917.336,3s2.3p2,3P,2,3s2.3p.nd,a 3P*,2,E1,T5071,L3521
168.268,,30,,,,,,,,,,,E1,,L3521
168.682,,30,,,,,,,,,,,E1,,L3521
168.929,,50w,,,,,,,,,,,E1,,L3521
,168.9444,,22.0,D,0.0,59191.072,3s2.3p2,3P,0,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,
169.079,,30w,,,,,,,,,,,E1,,L3521
,169.16479,,4.38,D,77.115,59191.072,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,
,169.1665,,86.2,D+,77.115,59190.46,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E2,T5785,
,169.17356,,0.0131,E,0.0,59110.892,3s2.3p2,3P,0,3s2.3p.(2P*<3/2>).4f,2[5/2],2,E2,T5785,
169.329,169.32935,50,67500000.0,D+,0.0,59056.508,3s2.3p2,3P,0,3s2.3p.4d,3D*,1,E1,T5071,L3521
,169.39455,,32.0,D+,77.115,59110.892,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[5/2],2,E2,T5785,
,169.39723,,4.31,D,77.115,59109.959,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[5/2],3,E2,T5785,
169.551,169.55074,50,39700000.0,D+,77.115,59056.508,3s2.3p2,3P,1,3s2.3p.4d,3D*,1,E1,T5071,L3521
,169.58375,,35.5,D+,223.157,59191.072,3s2.3p2,3P,2,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,
,169.5855,,28.4,D,223.157,59190.46,3s2.3p2,3P,2,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E2,T5785,
,169.61263,,19.7,D,77.115,59034.988,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[7/2],3,E2,T5785,
169.62,169.6207,200,122000000.0,C,77.115,59032.19,3s2.3p2,3P,1,3s2.3p.4d,3D*,2,E1,T5071,L3521
169.794,169.7941,200,138000000.0,C,223.157,59118.03,3s2.3p2,3P,2,3s2.3p.4d,3D*,3,E1,T5071,L3521
,169.81465,,40.9,D+,223.157,59110.892,3s2.3p2,3P,2,3s2.3p.(2P*<3/2>).4f,2[5/2],2,E2,T5785,
,169.81734,,104.0,D+,223.157,59109.959,3s2.3p2,3P,2,3s2.3p.(2P*<3/2>).4f,2[5/2],3,E2,T5785,
